X,Y,Z
10.7188679452127,50.7650274954151,476.57
10.7189830728815,50.7651666618139,478.33
10.7190320696046,50.7652047767819,478.64
10.7190952815886,50.7652829621539,482.97
10.7191613682428,50.7653493126131,486.93
10.7192248356993,50.7654181514049,490.94
10.7192976510626,50.7654872725611,494.84
10.7193304393419,50.7655324012669,497.39
10.7193845001676,50.7656083284974,501.34
10.7194904760871,50.7657713065846,508.63
10.7195329890375,50.7658392859494,512.84
10.7195831042843,50.7659195747451,516.48
10.7196350231732,50.7659961076268,520.33
10.7194953539319,50.7660081493764,522.44
10.7194510839939,50.7659422183531,519.21
10.7193936604146,50.7658700299346,515.58
10.7193206301087,50.7657931753254,511.36
10.7192842305366,50.7657245438069,507.89
10.7192434171607,50.7656462448242,503.91
10.7191975896819,50.7655750825627,499.98
10.7191614760282,50.7655323445402,497.59
10.7190950855292,50.765471923965,493.78
10.7190215276181,50.7654040530898,489.78
10.7189612289558,50.7653385751743,486.19
10.7188775477114,50.7652625023081,481.45
10.7187826311595,50.7652449190007,480
10.7192380104461,50.7659274738657,524.14
10.7189337192331,50.7658634527017,522.33
10.7194605706714,50.7660205330432,525.18
10.7194472582099,50.7656928014922,505.08
10.7197757690192,50.7642401613018,473.41
10.719669188971,50.7643436322043,473.34
10.7195994425447,50.7644114584299,473.27
10.7195314081106,50.7644840679551,473.28
10.7194597867365,50.7645582562242,473.26
10.7193886098635,50.7646317301499,473.25
10.7193133841248,50.7647081261994,473.28
10.719245639578,50.7647804690477,473.26
10.7191697691567,50.7648493065605,473.24
10.7190946721496,50.764926153368,473.22
10.7190260878556,50.7650084654621,473.2
10.7191048945057,50.7650865523486,477.18
10.7191811807164,50.7650180790322,477.49
10.7192563248664,50.7649343106009,477.57
10.7193271773148,50.7648623614492,477.64
10.7194054148162,50.7647950780676,477.84
10.7194765551356,50.76472295219,477.97
10.7195527068657,50.7646437793841,477.96
10.7196258477404,50.7645710460892,478.08
10.7196923503867,50.764497430832,477.94
10.7197585713875,50.7644289365886,477.9
10.7198298719155,50.7643560930751,477.9
10.7198988343556,50.7642806168463,477.81
10.7199285686806,50.7642402196187,477.68
10.7200317712427,50.7642813560784,481.81
10.7200019639034,50.7643192354084,481.99
10.7199339518239,50.7643962503766,482.16
10.7198659836417,50.7644716476364,482.32
10.7198030998868,50.7645425158845,482.53
10.7197255179648,50.7646117844648,482.21
10.7196522820565,50.7646828087313,482.05
10.7195761426878,50.7647615322508,482.05
10.7195012377386,50.7648313694423,482.01
10.7194334319956,50.764905959157,482.08
10.7193611688983,50.7649880512761,482
10.7192885864174,50.7650610602247,481.95
10.7192152682044,50.7651350499213,481.9
10.7191407504417,50.7652062395895,481.8
10.7191885055005,50.7652742766359,485.09
10.7192661917895,50.765206447915,485.43
10.7192767332535,50.7651681775091,485.65
10.7193833884238,50.7650984192538,485.88
10.7194643897517,50.7650285591492,486.3
10.7195420291507,50.7649572237381,486.56
10.7195439774716,50.7648702246037,486.64
10.7196848063526,50.7648051561664,486.57
10.7197568263849,50.7647267469665,486.46
10.7198255036385,50.7646513575514,486.35
10.7198568998599,50.7645812225945,486.36
10.7199561405805,50.7645077865783,486.05
10.7200248318943,50.7644318578162,485.88
10.7200885952365,50.7643547062915,485.58
10.7201233890914,50.7643158927691,485.51
10.7201243945143,50.7642426375535,485.43
10.7202711642626,50.7642455059884,490.54
10.7203116503141,50.7642994388879,490.77
10.7202588626938,50.7643691595505,491.13
10.7201949530054,50.7644464893564,491.41
10.720164104752,50.7644861552539,491.63
10.7200559366195,50.7645647075528,491.74
10.7200298793383,50.7646313951394,491.83
10.7199117692929,50.7647106473155,491.93
10.7198892877154,50.7647865436166,492.11
10.7198159958688,50.7648544209674,492.15
10.7197398883589,50.7649319762774,492.12
10.7196728855113,50.7650187110644,492.15
10.7196007050601,50.7650821955111,491.94
10.7195253058553,50.7651545444145,491.74
10.7194438621145,50.7652250289855,491.3
10.7193656724589,50.7652957290101,491.04
10.7192775298767,50.7653571502177,490.29
10.719396577895,50.7654046640604,495.25
10.7194771614654,50.7653397437108,495.71
10.719531007136,50.7652417173916,495.99
10.7196337090305,50.7651973564381,496.24
10.7197048883608,50.7651290065364,496.41
10.7197810296161,50.7650606211375,496.59
10.7198555638086,50.7649835879234,496.65
10.7199276451157,50.764902931862,496.75
10.7199987970594,50.7648303563107,496.68
10.7200698585456,50.7647558918818,496.66
10.7201438739718,50.7646770548477,496.58
10.7202087265495,50.7646067473971,496.46
10.7202806596352,50.7645314833246,496.51
10.7203517520695,50.764455850399,496.48
10.7203884879767,50.7644185863506,496.53
10.720441509866,50.7643506661441,496.18
10.720502110851,50.7642750978648,495.91
10.720697721489,50.7642490150545,500.88
10.7206249417411,50.764324180203,500.96
10.7205601730873,50.7643966463385,501.12
10.7205078549328,50.7644647541097,501.49
10.7204470335985,50.7645431966852,501.88
10.7204118392283,50.7645811069378,501.93
10.7203410056013,50.7646576417096,501.94
10.7202720339245,50.7647282636433,501.92
10.7201974616146,50.7648067350605,501.96
10.7201268253651,50.7648812042306,501.99
10.720058267448,50.764962618243,502.12
10.719984295995,50.7650346235147,501.99
10.7199056112689,50.765107925488,501.78
10.7198374448484,50.7651749601098,501.73
10.7197609146597,50.7652472068576,501.53
10.7196836806075,50.7653192660373,501.31
10.71960758487,50.7653911578628,501.16
10.7195354473767,50.7654582386278,501.01
10.7194566627592,50.765514368833,500.54
10.7193313082026,50.7654693928524,495.17
10.7196001045754,50.7655354507094,505.26
10.7196740087706,50.7654659620664,505.42
10.7197072886795,50.7654307279471,505.36
10.7197603420973,50.765335749337,505.6
10.7198645443897,50.7652883481383,505.85
10.7199411421976,50.7652240130204,506.23
10.720012324029,50.7651503590242,506.25
10.7200870776775,50.7650756653993,506.29
10.7201588655205,50.7649953655667,506.38
10.7202356168282,50.7649253684142,506.54
10.7203062676765,50.7648503599559,506.47
10.7203825105137,50.7647781995964,506.44
10.7204474735394,50.7646986338122,506.32
